"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"LHCGR",11,0.399348467017172,"no",0.0854170821628789,0.132495430254012,7,0.993504843558291,"no","","","",143
"TERF1",10,0.399486428244995,"no",-0.120719060412005,0.247721466505478,6,5.43839913079056e-05,"yes","","","",143
"PDZRN4",11,0.399894079871988,"no",-0.0211081822197876,0.195005883506577,7,0.967195283580096,"no","","","",143
"ZNF521",11,0.400375660965799,"no",0.00870026688379173,0.167400314715933,7,0.0597810907125323,"no","ESCA_Act,HC_Act,LUSC_Act,NSPH_Act,PAAD_Act","","",143
"LGALS13",11,0.400375660965799,"no",0.0344548726656796,0.17157293594875,7,0.76649757873184,"no","","","",143
"NMNAT3",11,0.4007931505006,"no",-0.0022769323165208,0.132235769898834,7,0.836719232075938,"no","","","",143
"PRF1",11,0.401178623336149,"no",0.0515447813059621,0.126503150339035,7,0.871256438283978,"no","NSCLC_LoF,ST_LoF","","",143
"SLC38A6",11,0.401371394877635,"no",0.0606717568521418,0.300924948825898,7,0.325925022542273,"no","","","NPM1 (enriched, 26% vs 5%)",143
"ACTR6",9,0.4018733496657,"no",-0.186151655093076,0.210024850362037,6,1.36602468521724e-06,"yes","","","",143
"KLHL12",11,0.402207007567738,"no",0.0240128634497262,0.139405133006873,7,0.0908375303159025,"no","","","",143
"EEF1E1",11,0.402303452478007,"no",NA,NA,7,9.62155758100621e-05,"yes","","","NPM1 (enriched, 26% vs 5%), RUNX1 (depleted, 0% vs 18%)",143
"QPCT",11,0.402303452478007,"no",-0.0378238194089352,0.281394770235137,7,0.0588703927959627,"no","","","",143
"EEF1E1-MUTED",11,0.402303452478007,"no",NA,NA,0,NA,NA,"",NA,NA,NA
"MUC12",11,0.402335602067543,"no",-0.0899939960497322,0.261315546417813,7,0.981327981198414,"no","","","",143
"BIRC5",9,0.40236942775173,"no",-0.622587703821215,0.576491915188778,6,4.85412410347652e-10,"yes","","","",143
"TBC1D2",10,0.40244725599794,"no",-0.0524493377952007,0.134307992784277,6,0.992327002731855,"no","","","",143
"GJA10",11,0.402978728558314,"no",-0.204108147281522,0.312570916058984,7,0.726256531482047,"no","","","",143
