"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"CELF3",6,3,0.447591768411597,"no",-0.0617368713628979,0.162900751576517,-0.222750174441867,0.0445261992751105,3,2,0.798587108727428,"no",""
"SLC38A11",8,2,0.462625934509701,"no",-0.0616966147253098,0.360697155473277,0.0619120188394821,0.0295769396997564,5,0,NA,NA,""
"NMU",8,2,0.464990983055388,"no",-0.0949559637297553,0.142234485427749,-0.261087968553292,0.408107014492123,4,1,NA,NA,""
"ATP8B2",7,3,0.466579455936913,"no",-0.189066666339094,0.088044774719753,-0.323358958008789,0.122731287874084,3,2,0.181757317764886,"no",""
"NPBWR2",8,2,0.467944899433623,"no",0.224332251356437,0.0631224035928308,0.037367908382998,0.115356015529556,3,2,0.758962218473915,"no",""
"LAMP5",8,2,0.468247111115906,"no",0.0182103722877963,0.161058153022027,0.184775699976182,0.017210783361513,4,1,NA,NA,""
"SRD5A3",8,2,0.468347852591114,"no",0.0257461671351922,0.121963954840686,-0.023205494658359,0.0274404018678721,4,1,NA,NA,""
"MYC",7,2,0.470529509297454,"no",-0.330027724227707,0.297054014706365,-0.235200504329673,0.02401345673793,3,1,NA,NA,"AML_Act,BLY_Act,LY_Act,NHLY_Act"
"CD84",8,2,0.471673466606859,"no",0.0251561192070207,0.213406224846524,-0.174612479162711,0.144757961171672,4,1,NA,NA,""
"NCSTN",7,2,0.473493689197205,"no",-0.119052625230553,0.0969765299449429,0.0216892285749245,0.163970729942316,4,1,NA,NA,""
"RICTOR",6,4,0.475134090139036,"no",NA,NA,NA,NA,3,2,0.615540416518959,"no",""
"OR2T27",7,2,0.485354154354254,"no",0.116590018220218,0.139459664670258,-0.0238271722834955,0.0823888828020635,2,2,0.468119059465657,"no",""
"GJA8",7,3,0.486795595629132,"no",0.0735682679382138,0.18007224939283,-0.044496847324302,0.131294404876485,3,2,0.312879222282439,"no",""
"NFKBIA",8,2,0.48918640176727,"no",-0.109024027975346,0.18876594657918,-0.0594831835945984,0.0754840305822206,4,1,NA,NA,"DLBCL_LoF,MM_LoF"
"ECM1",6,4,0.492290318163082,"no",0.0563139855823408,0.176045413601238,0.0601502776544559,0.200218295484707,3,2,0.453343248591413,"no",""
"GPR33",8,2,0.494794812764827,"no",0.0768212449100469,0.0919501107181612,0.137902466692318,0.012159260313309,0,0,NA,NA,""
"AKAP10",7,2,0.494863909263625,"no",-0.205651269099443,0.210167748956378,-0.0738635812831027,0.172543185388066,3,2,0.0910221666923607,"no",""
"SH2D1B",8,2,0.498820798224363,"no",-0.0681767658416527,0.249790707772611,-0.0279520471176695,0.358539880411301,4,1,NA,NA,""
"PAIP1",6,4,0.505055239097582,"no",-0.308807403310821,0.159535253261204,-0.127036282020178,0.142541305005626,3,2,0.61957099963775,"no",""
"OR2T1",6,2,0.511927483208073,"no",-0.0541935274621417,0.241661819174231,0.159658905615115,0.0729896263221242,1,2,NA,NA,""
"ZBTB7B",6,4,0.512227064303233,"no",-0.0536624374921719,0.107859771937573,-0.0313087267573944,0.0566271622191153,3,2,0.532230072839466,"no","UCS_Act"
