"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"ADRM1",33,0.141303425547675,"no",-0.25532586465479,0.342363374584385,24,7.81463938132681e-13,"yes","","","",467
"OR52I2",34,0.141753856860793,"no",-0.00876929691718252,0.219511488743404,25,0.999999976218479,"no","","ABCG8 (enriched, 43% vs 3%), ATP8A2 (enriched, 43% vs 3%), MMP3 (enriched, 43% vs 3%)","",467
"CIC",34,0.142077361978268,"no",0.0506273593348791,0.230009999131342,25,0.288870321259651,"no","LGG_LoF,LUAD_LoF","","",467
"ERC1",32,0.142283235817005,"no",0.102074475923195,0.171930969853826,24,0.849584620901147,"no","","","",467
"TDRD12",34,0.142288393023558,"no",0.0427030264825368,0.185485761453418,26,0.999999891352366,"no","","","",467
"LATS1",34,0.142622567952595,"no",0.0801028738699085,0.191630200132418,26,0.945635626299571,"no","CESC_LoF,COREAD_LoF,OV_LoF,PAAD_LoF,SBCC_LoF","","",467
"CNTRL",34,0.142948801238155,"no",-0.00962140623378522,0.123171347537253,25,0.0236729163276814,"no","","","",467
"DGKB",23,0.143347707235714,"no",0.0496437287886349,0.219375272535363,16,0.994367490078987,"no","","","",467
"TTC3",33,0.144007686091559,"no",0.0938280222357861,0.175846791456523,25,0.999994760435035,"no","","","",467
"CCND3",34,0.144022763720466,"no",0.142802407278299,0.213803447586359,25,2.41464839065504e-05,"yes","BLY_Act,DLBCL_Act,LY_Act,NHLY_Act","","",467
"CEBPG",34,0.144266620785439,"no",-0.167275555612038,0.17840535488296,25,0.994693789998039,"no","","","",467
"COL7A1",27,0.144435088914502,"no",-0.00567094117752755,0.233948070943042,19,5.80618683526014e-06,"yes","","","",467
"MTMR11",32,0.14553530480262,"no",-0.12401492225433,0.24132010713205,23,0.102151607054372,"no","","","",467
"BHMT2",34,0.146157560423648,"no",-0.039972815385794,0.241985825378282,25,0.0124356380108785,"no","","","",467
"COL4A4",29,0.146185222439295,"no",0.0506433056918695,0.190397514991631,21,0.999699926268766,"no","","","",467
"TMEM19",35,0.146532487573973,"no",-0.0437995832048046,0.148129150908452,26,0.987944936833858,"no","","","",467
"SERPINB2",31,0.147012325277545,"no",0.000150193780127098,0.156958597657318,22,0.999999999866985,"no","","","",467
"PRKAB1",35,0.147368381007823,"no",0.0229437970477121,0.122035584115462,26,0.286190974897136,"no","","","",467
"MED30",34,0.148075301409819,"no",-0.623744564366151,0.538236827313642,26,1.16769139601455e-18,"yes","","","",467
"EP400",27,0.148655831968331,"no",-0.768522990674334,0.336803208855588,21,2.46491012711882e-13,"yes","","","",467
